Experiment ID,Profile,Latency(ms),Loss(%),Jitter(ms),Bandwidth(Mbps),Packets,Dropped,Packet Loss %,Average Latency,Throughput,Runtime(s)
1,medium_load,20,0.0,0,20,22750,0,0.0,20.0,16.874,11.044838
2,medium_load,20,0.0,0,50,24700,0,0.0,20.0,18.325,11.042748
3,medium_load,20,0.0,0,100,25114,0,0.0,20.0,18.608,11.05696
