Latency(ms),Loss(%),Jitter(ms),Bandwidth(Mbps),Average Latency,Throughput,Packet Loss %,Packets,Runtime(s)
20,0.0,0,20,20.0,16.874,0.0,22750.0,11.044838
20,0.0,0,50,20.0,18.325,0.0,24700.0,11.042748
20,0.0,0,100,20.0,18.608,0.0,25114.0,11.05696
